model,customer_id,feature,shap_value,feature_value,shap_abs,feature_importance,jitter
LogisticRegression,0,log_Fresh,-0.0046341873016356085,1.167228500027419,0.0046341873016356085,0.0026520304743115177,0.04630518192097313
LogisticRegression,0,log_Milk,0.4616172737951058,0.7341749739905937,0.4616172737951058,0.4417338383535025,0.029690518254116782
LogisticRegression,0,log_Grocery,0.4653604679389554,0.5422882718797886,0.4653604679389554,0.6590026752781761,0.007817431675971431
LogisticRegression,0,log_Frozen,-0.11261337372660005,0.4195349852849734,0.11261337372660005,0.20447797910987936,-0.1974441833987386
LogisticRegression,0,log_Detergents_Paper,0.6481287019100077,0.3827861363921274,0.6481287019100077,1.0837102343622873,0.020116957029917254
LogisticRegression,0,log_Delicassen,0.1533963724930959,1.005270206647807,0.1533963724930959,0.12095191443228182,0.1873353729255181
LogisticRegression,0,Region_2,-0.08072683455263313,-0.34582202838753073,0.08072683455263313,0.13276562046259496,-0.040776121439459745
LogisticRegression,0,Region_3,0.10118067870446866,0.6264224319827152,0.10118067870446866,0.13838905732482165,-0.19366503831843193
LogisticRegression,1,log_Fresh,-0.001988024176892844,0.4559723569339648,0.001988024176892844,0.0026520304743115177,-0.10249903488224713
LogisticRegression,1,log_Milk,1.1857664895600843,1.9732659498530924,1.1857664895600843,0.4417338383535025,0.17858011861451112
LogisticRegression,1,log_Grocery,1.692345489504796,1.9335796678875796,1.692345489504796,0.6590026752781761,0.15840452346432676
LogisticRegression,1,log_Frozen,-0.23299981739720227,0.9059700552255879,0.23299981739720227,0.20447797910987936,-0.010485245281433186
LogisticRegression,1,log_Detergents_Paper,2.6178639382575706,1.80478902903933,2.6178639382575706,1.0837102343622873,-0.15313722023381895
LogisticRegression,1,log_Delicassen,0.15237571420462456,0.9990966698386028,0.15237571420462456,0.12095191443228182,-0.1684769113376104
LogisticRegression,1,Region_2,-0.08072683455263313,-0.34582202838753073,0.08072683455263313,0.13276562046259496,0.19311501530165193
LogisticRegression,1,Region_3,-0.22520860743897858,-1.5963668427946611,0.22520860743897858,0.13838905732482165,-0.17421762119015294
LogisticRegression,2,log_Fresh,-0.0009645462476552234,0.18087406171394135,0.0009645462476552234,0.0026520304743115177,-0.0042066999280516715
LogisticRegression,2,log_Milk,0.005095529562373424,-0.046978911491724035,0.005095529562373424,0.4417338383535025,-0.0363973059664639
LogisticRegression,2,log_Grocery,0.31246997960696027,0.36892411729844427,0.31246997960696027,0.6590026752781761,0.10604127326461293
LogisticRegression,2,log_Frozen,-0.004980133716329678,-0.015369319850805158,0.004980133716329678,0.20447797910987936,-0.1709942189658422
LogisticRegression,2,log_Detergents_Paper,1.2761410268789464,0.8361645022987362,1.2761410268789464,1.0837102343622873,-0.0006078124011864305
LogisticRegression,2,log_Delicassen,-0.0632588759405538,-0.30518713859717234,0.0632588759405538,0.12095191443228182,0.145038491791793
LogisticRegression,2,Region_2,0.6531534795622134,2.8916607905595657,0.6531534795622134,0.13276562046259496,-0.03521024191787542
LogisticRegression,2,Region_3,-0.22520860743897858,-1.5963668427946611,0.22520860743897858,0.13838905732482165,0.1107244801800022
LogisticRegression,3,log_Fresh,0.0003999022900385156,-0.1858729446573656,0.0003999022900385156,0.0026520304743115177,0.017883745310591476
LogisticRegression,3,log_Milk,-0.6070872483266395,-1.0944842310402552,0.6070872483266395,0.4417338383535025,-0.12507620814750597
LogisticRegression,3,log_Grocery,-1.2510289627090692,-1.4039440007944275,1.2510289627090692,0.6590026752781761,0.10929484925061139
LogisticRegression,3,log_Frozen,-0.2619008274115117,1.0227478617544639,0.2619008274115117,0.20447797910987936,-0.09936139638119071
LogisticRegression,3,log_Detergents_Paper,-1.101749616191654,-0.8804963516316159,1.101749616191654,1.0837102343622873,0.04235700361680714
LogisticRegression,3,log_Delicassen,-0.3489675534656313,-2.0333199106847553,0.3489675534656313,0.12095191443228182,-0.08799112175452035
LogisticRegression,3,Region_2,-0.08072683455263313,-0.34582202838753073,0.08072683455263313,0.13276562046259496,0.19887913945364094
LogisticRegression,3,Region_3,-0.22520860743897858,-1.5963668427946611,0.22520860743897858,0.13838905732482165,-0.07322784073374061
LogisticRegression,4,log_Fresh,0.013776947114708088,-3.7814582730968747,0.013776947114708088,0.0026520304743115177,-0.0754457973064918
LogisticRegression,4,log_Milk,-0.1037974768778071,-0.2333056224473227,0.1037974768778071,0.4417338383535025,-0.009775918557305557
LogisticRegression,4,log_Grocery,0.4317419685628443,0.5041678970532187,0.4317419685628443,0.6590026752781761,-0.05034260599379531
LogisticRegression,4,log_Frozen,0.4395432476764378,-1.8115164235037393,0.4395432476764378,0.20447797910987936,0.06985284070428144
LogisticRegression,4,log_Detergents_Paper,1.3107836751004707,0.8611739274595067,1.3107836751004707,1.0837102343622873,0.029107991215450962
LogisticRegression,4,log_Delicassen,-0.1773775340608896,-0.9954433629188895,0.1773775340608896,0.12095191443228182,-0.03337756964558594
LogisticRegression,4,Region_2,-0.08072683455263313,-0.34582202838753073,0.08072683455263313,0.13276562046259496,-0.1312132562723305
LogisticRegression,4,Region_3,0.10118067870446866,0.6264224319827152,0.10118067870446866,0.13838905732482165,-0.14178815668570768
LogisticRegression,5,log_Fresh,-0.0011090333957685587,0.21971043228110115,0.0011090333957685587,0.0026520304743115177,-0.09374165764283499
LogisticRegression,5,log_Milk,0.24466612894695078,0.36295009390782296,0.24466612894695078,0.4417338383535025,0.18512478094091078
LogisticRegression,5,log_Grocery,2.1116840787675617,2.4090721645366306,2.1116840787675617,0.6590026752781761,-0.006538872896574066
LogisticRegression,5,log_Frozen,0.45902721804059154,-1.890243614023135,0.45902721804059154,0.20447797910987936,-0.0160840274697312
LogisticRegression,5,log_Detergents_Paper,3.1649796115332385,2.1997660064798366,3.1649796115332385,1.0837102343622873,0.05786072857091018
LogisticRegression,5,log_Delicassen,0.04248524315540458,0.3344149877653299,0.04248524315540458,0.12095191443228182,-0.048384281695343645
LogisticRegression,5,Region_2,0.6531534795622134,2.8916607905595657,0.6531534795622134,0.13276562046259496,0.05642735335489041
LogisticRegression,5,Region_3,-0.22520860743897858,-1.5963668427946611,0.22520860743897858,0.13838905732482165,0.19381345179217585
LogisticRegression,6,log_Fresh,5.113333382552759e-05,-0.09212813342208163,5.113333382552759e-05,0.0026520304743115177,0.013083608033677807
LogisticRegression,6,log_Milk,0.6184308905841718,1.0024985918659923,0.6184308905841718,0.4417338383535025,-0.05738528855282107
LogisticRegression,6,log_Grocery,0.6351080649022879,0.7347668816403966,0.6351080649022879,0.6590026752781761,0.008355639283625982
LogisticRegression,6,log_Frozen,0.6946872777420049,-2.842454794351068,0.6946872777420049,0.20447797910987936,0.0021083112579942664
LogisticRegression,6,log_Detergents_Paper,1.8543223857767637,1.2535686029391495,1.8543223857767637,1.0837102343622873,-0.08320330759497813
LogisticRegression,6,log_Delicassen,0.04934584437546022,0.37591190661044116,0.04934584437546022,0.12095191443228182,-0.12379699059908021
LogisticRegression,6,Region_2,-0.08072683455263313,-0.34582202838753073,0.08072683455263313,0.13276562046259496,0.08502494567582164
LogisticRegression,6,Region_3,0.10118067870446866,0.6264224319827152,0.10118067870446866,0.13838905732482165,-0.001208060455596488
LogisticRegression,7,log_Fresh,-0.002274231240646882,0.5329012999716654,0.002274231240646882,0.0026520304743115177,-0.09779025662521389
