CustomerID,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,ClusterID,PC1,PC2,PC3
1,2,3,12669,9656,7561,214,2674,1338,1,1.3803827863658054,-0.3047268326009815,-0.24106170473521715
2,2,3,7057,9810,9568,1762,3293,1776,1,1.4388696446330922,0.5374682256112266,0.08423230340166098
3,2,3,6353,8808,7684,2405,3516,7844,1,1.513452555643775,1.2325645334065776,0.9853059356198784
4,1,3,13265,1196,4221,6404,507,1788,2,-0.8251053991359077,1.2107896181052393,0.252140609520749
5,2,3,22615,5410,7198,3915,1777,5185,1,0.8028971082483898,1.7660459621182896,0.31269799997240233
6,2,3,9413,8259,5126,666,1795,1451,1,0.8861654648503081,0.12989417893346547,0.018949775477402623
7,2,3,12126,3199,6975,480,3140,545,0,0.6032560203667763,-0.4615481240386488,-0.6731222244446744
8,2,3,7579,4956,9426,1669,3321,2566,1,1.1526487141521784,0.6076761527297413,0.3081279517863712
9,1,3,5963,3648,6192,425,1716,750,0,0.5300120664774199,-0.6301380623446863,-0.10707160633844624
10,2,3,6006,11093,18881,1159,7425,2098,1,2.196865574517631,0.32604951029549245,0.0699428417746401
11,2,3,3366,5403,12974,4400,5977,1744,1,1.4396377890823082,0.5542031070288206,0.31561517273512674
12,2,3,13146,1124,4523,1420,549,497,0,-0.8444768181721618,-0.022084171542164768,-0.4509863573279228
13,2,3,31714,12319,11757,287,3881,2931,1,1.8828558831190854,0.5323381981943757,-0.31810534471327867
14,2,3,21217,6208,14982,3095,6707,602,1,1.350289034764369,0.7078407147561546,-1.117364639136735
15,2,3,24653,9465,12091,294,5058,2168,1,1.81571213443845,0.27500093755032207,-0.39455721039273406
16,1,3,10253,1114,3821,397,964,412,0,-0.6306354677133041,-0.8084564410591987,-0.4717352888566682
17,2,3,1020,8816,12121,134,4508,1080,3,1.940972379386704,-1.6543031290006278,0.6313955960397206
18,1,3,5876,6157,2933,839,370,4478,2,0.13858865935286158,0.5408411511000459,1.1246129715477904
19,2,3,18601,6327,10099,2205,2767,3181,1,1.1933295569349185,1.2220421581153982,0.029717863012763412
20,1,3,7780,2495,9464,669,2518,501,0,0.5464702992559825,-0.5447134562474508,-0.5265191093000757
21,2,3,17546,4519,4602,1066,2259,2124,1,0.56982990463833,0.6695072828470078,-0.0187047454375737
22,1,3,5567,871,2010,3383,375,569,0,-1.5219215961763006,0.07627678891259562,0.14379849824908258
23,1,3,31276,1917,4469,9408,2381,4334,2,-0.016572934822420466,2.089245550523611,0.15012586964131092
24,2,3,26373,36423,22019,5154,4337,16523,1,2.775683064778793,2.6216729357493844,0.5238532408396016
25,2,3,22647,9776,13792,2915,4482,5778,1,1.7826587727362113,1.7063200694547365,0.1512901415911274
26,2,3,16165,4230,7595,201,4003,57,0,0.5664784057970234,-1.641226428955329,-2.1015315875674734
27,1,3,9898,961,2861,3151,242,833,2,-1.4021222570815395,0.45925884591357585,0.11024962049523743
28,1,3,14276,803,3045,485,100,518,0,-1.6468867167937247,-0.43522350825721146,-0.17747302600254478
29,2,3,4113,20484,25957,1158,8604,5206,1,2.8943128764976023,0.6138545610827266,0.6480255615873207
30,1,3,43088,2100,2609,1200,1107,823,2,-0.5712825184865797,0.6347323202138904,-0.7404683303274997
31,1,3,18815,3610,11107,1148,2134,2963,1,0.9343577339784327,0.8382841822186747,0.0528330436021655
32,1,3,2612,4339,3133,2088,820,985,0,-0.03830503577552033,-0.062301197042172775,0.5350981994370053
33,1,3,21632,1318,2886,266,918,405,0,-0.7197049307340074,-0.675141350289601,-0.7718420352894606
34,1,3,29729,4786,7326,6130,361,1083,2,-0.09045573572336643,1.4913825318169933,-0.5011676367044706
35,1,3,1502,1979,2262,425,483,395,0,-0.7111058902038457,-1.464051852606565,0.4439513470551669
36,2,3,688,5491,11091,833,4239,436,3,1.3193478630695072,-1.4003073405670303,0.31371594570766076
37,1,3,29955,4362,5428,1729,862,4626,2,0.36532437215114427,1.460874928978773,0.27278000253850476
38,2,3,15168,10556,12477,1920,6506,714,1,1.6167162506278363,0.49056518738331384,-0.8783075604393247
39,2,3,4591,15729,16709,33,6956,433,3,2.4262454868568937,-2.007789557634491,-0.6419523487114586
40,1,3,56159,555,902,10002,212,2916,2,-2.3548141182509585,2.146169658657221,0.23032758991572835
41,1,3,24025,4332,4757,9510,1145,5864,2,0.2569922421132887,2.2425467183658903,0.4570405381477273
42,1,3,19176,3065,5956,2033,2575,2802,2,0.5198432322952887,1.0613722477620864,0.06777911834482234
43,2,3,10850,7555,14961,188,6899,46,3,1.3830941762193198,-1.872997410794478,-2.2295970347869156
44,2,3,630,11095,23998,787,9529,72,3,2.046595955892263,-2.146594711795686,-0.8879205685443416
45,2,3,9670,7027,10471,541,4618,65,3,0.9847356616137122,-1.2852063524146293,-1.9114277221601197
46,2,3,5181,22044,21531,1740,7353,4985,1,2.716748078104957,0.8927684012873021,0.5522395297984021
47,2,3,3103,14069,21955,1668,6792,1452,1,2.3122550505828827,0.10961376954129029,0.12077420919561423
48,2,3,44466,54259,55571,7782,24171,6465,1,3.76886580396033,2.6096455802041043,-0.5767149650690596
49,2,3,11519,6152,10868,584,5121,1476,1,1.4654025954921037,0.07399152305820299,-0.24979087910155143
50,2,3,4967,21412,28921,1798,13583,1163,1,2.8099854447188912,0.2637815300738722,-0.35257840915112054
51,1,3,6269,1095,1980,3860,609,2162,2,-1.0601692009648778,0.7397865367302299,0.7689877216868904
52,1,3,3347,4051,6996,239,1538,301,3,0.5621876238123642,-1.483246966148803,-0.3671221208436828
53,2,3,40721,3916,5876,532,2587,1278,1,0.5975473250532486,0.4554417056742597,-0.6944728096964746
54,2,3,491,10473,11532,744,5611,224,3,1.680320928263963,-1.792186631589758,0.0076928909179454705
55,1,3,27329,1449,1947,2436,204,1333,2,-1.4159442548176522,1.0010847697296126,-0.025632481451153086
56,1,3,5264,3683,5005,1057,2024,1130,0,0.45738458424193895,-0.09788164229993163,0.16786603288869067
57,2,3,4098,29892,26866,2616,17740,1340,1,3.022665358068743,0.44758025452992434,-0.24062558213557664
58,2,3,5417,9933,10487,38,7572,1282,3,2.136169310175508,-1.4913257720268622,-0.02977876973352656
59,1,3,13779,1970,1648,596,227,436,0,-1.2978096544119124,-0.3454111932730798,-0.34470379935991524
60,1,3,6137,5360,8040,129,3084,1603,3,1.2983613908278255,-0.8323778187167261,0.20038443184662633
61,2,3,8590,3045,7854,96,4095,225,3,0.7759495169384758,-1.7170177130317765,-1.0341332209261853
62,2,3,35942,38369,59598,3254,26701,2017,1,3.5787938021463632,1.5979068183956775,-1.120377708052326
63,2,3,7823,6245,6544,4154,4074,964,1,0.8840666716247356,0.6609199722937249,-0.26633831663338015
64,2,3,9396,11601,15775,2896,7677,1295,1,1.9269682042364744,0.7347862776710266,-0.39633800352437537
65,1,3,4760,1227,3250,3724,1247,1145,2,-0.5990409337379207,0.3338785241352635,0.3816092612330306
66,2,3,85,20959,45828,36,24231,1423,3,3.9652466111156293,-3.1018514615552655,1.4696181438683495
67,1,3,9,1534,7417,175,3468,27,3,0.42195643798487,-5.091318627636231,0.7969899487039032
68,2,3,19913,6759,13462,1256,5141,834,1,1.4078587577119077,0.42270115935797303,-0.8538129683973337
69,1,3,2446,7260,3993,5870,788,3095,2,0.41552924788080914,0.920264891229697,1.1299705332742054
70,1,3,8352,2820,1293,779,656,144,0,-1.077153314082821,-0.8743296530196809,-0.870107819400215
71,1,3,16705,2037,3202,10643,116,1365,2,-1.2893867055799348,1.5546303188319566,0.16020437257337408
72,1,3,18291,1266,21042,5373,4173,14472,1,1.0521840135280227,2.027709916791186,0.8470816572972368
73,1,3,4420,5139,2661,8872,1321,181,0,-0.35753328971502024,0.12426213529256241,-0.7148500609337475
74,2,3,19899,5332,8713,8132,764,648,2,0.2075352055862943,1.2312094026578937,-0.734939131923763
75,2,3,8190,6343,9794,1285,1901,1780,1,1.0784129252504928,0.4218800202097184,0.11700899245193884
76,1,3,20398,1137,3,4407,3,975,4,-6.08709266421151,1.193868184060438,1.1360210521758334
77,1,3,717,3587,6532,7530,529,894,0,0.041427163195453184,-0.03959421632744637,0.9978114795358457
78,2,3,12205,12697,28540,869,12034,1009,1,2.491861854147293,0.17296903426324764,-0.760295413563605
79,1,3,10766,1175,2067,2096,301,167,0,-1.6263635840219068,-0.33432940647110454,-0.8200517142776693
80,1,3,1640,3259,3655,868,1202,1653,0,0.23405936084831241,-0.4930040787709168,0.9992056568257194
81,1,3,7005,829,3009,430,610,529,0,-0.9891553826731739,-0.8387164708149788,-0.06482680834229212
82,2,3,219,9540,14403,283,7818,156,3,1.9566382220615826,-2.733830097085282,0.11276794324256001
83,2,3,10362,9232,11009,737,3537,2342,1,1.6157633977016277,0.39293795184642455,0.0657340693223936
84,1,3,20874,1563,1783,2320,550,772,2,-1.1703377785626228,0.6153423267394442,-0.32427520370176743
85,2,3,11867,3327,4814,1178,3837,120,0,0.15170867899654245,-0.6767441910442362,-1.5068564559877498
86,2,3,16117,46197,92780,1026,40827,2944,1,4.28125279564807,0.9022215129446691,-0.6551442271510872
87,2,3,22925,73498,32114,987,20070,903,1,3.5224418560408166,0.633794434113125,-1.2928626909481995
88,1,3,43265,5025,8117,6312,1579,14351,1,0.8605756836169157,2.65933336875754,0.5987679824720549
89,1,3,7864,542,4042,9735,165,46,4,-2.2167653105838045,-0.34953685619271796,-1.3823665576990025
90,1,3,24904,3836,5330,3443,454,3178,2,-0.038225538581975534,1.5607003249369875,0.21662540727846577
